"objectid","standort","ortsbezeichnung","quartier","stadtkreis","baujahr","historisches_baujahr","art_eigentuemer","eigentuemer","wasserart","brunnennummer","brunnenart","art","architekt_bildhauer","steinhauer","material_trog","material_saeule","material_figur","abgestellt","datum_abstellung","grund_abstellung","hkoord","vkoord","bemerkung1","bemerkung2","foto","druckzone","u_aks_nummer","datum_wiederinbetriebnahme","datum_aenderung","geometry"
"397","Hohlstrasse 150, Güterschuppen SBB","","Aussersihl","4","","","Privat","SBB","Züriwasser","790","privater Brunnen","privat","","","","","","nein","","","2681728.139","1248335.461","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/","Limmatzone","{ACA3C50F-DFA1-4AB1-AE84-09526278F81E}","","202308241444","POINT (2681728.2 1248335.5)"
"426","Seminarstr. 29, im Hofe des evangelischen Lehrerseminar","Karlsbrunnen","Unterstrass/Oberstrass","6","","1973","Privat","Evangelisches Lehrerseminar","Züriwasser","877","privater Brunnen","privat","Arnold Hünerwadel","Arnold Hünerwadel","Mägenwiler Muschelkalk","Mägenwiler Muschelkalk","","nein","","","2682855.111","1249636.025","Brunnen unter Denkmalschutz, Gratiswasser da von öffentlichem Charakter. Reinigung durch Schule.; 1972 auf Anregung des Stadtpräsidenten saniert und im Hof der freien evangelischen Schule aufgestellt;","","https://wvzm0cun.global.szh.loc/Brunnenbilder/","Limmatzone","{2A03171C-B890-402A-9403-6839D161C6A7}","","202308241444","POINT (2682855 1249636)"
"437","Strickhofstr. 35, 39","","Unterstrass/Oberstrass","6","","","Privat","unbekannt","Züriwasser","930","privater Brunnen","privat","","","","","","nein","","","2683864.066","1249989.683","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/","HZ Sonnenberg","{96E848A8-B34E-45ED-8AEF-F681981FFEF7}","","202308241444","POINT (2683864 1249989.6)"
"448","Guthirtstrasse 3","","Hoengg/Wipkingen","10","","","Privat","unbekannt","Züriwasser","948","privater Brunnen","privat","","","Beton","","","nein","","","2682197.229","1249881.125","neuer Brunnen 2008","","https://wvzm0cun.global.szh.loc/Brunnenbilder/","Limmatzone","{23EA471E-8FC9-4D72-8310-0C4FFFC27A76}","","202308241444","POINT (2682197.2 1249881.1)"
"465","Neugasse 155-163","","Aussersihl","4","","1975","Privat","SBB","Züriwasser","986.1","privater Brunnen","privat","Robert Winkler, Arch.","","Betonrohr","","","nein","","","2681799.05","1248845.553","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/","Limmatzone","{9F2CC6E6-B063-4823-BEE3-535091D407D6}","","202308241444","POINT (2681799 1248845.5)"
"466","Neugasse 155-163","","Aussersihl","4","","1975","Privat","SBB","Züriwasser","986.2","privater Brunnen","privat","Robert Winkler, Arch.","","Betonrohr","","","nein","","","2681796.677","1248809.459","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/","Limmatzone","{B628DE58-2E02-4195-81B6-7D0A01C04C14}","","202308241444","POINT (2681796.8 1248809.5)"
"535","Röslibrunnenweg 10","","Unterstrass/Oberstrass","6","2005","2005","städtisch","LV","Züriwasser","1252","Brunnen in städtischer Liegenschaft","öffentlich","Architektur und Landschaft GmbH, Basel","","länglicher Betontrog mit Glasmosaik ausgekleidet","","","nein","","","2683538.165","1249310.141","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/1252.jpg","HZ Sonnenberg","{5FF2C430-6FDA-4184-B4CD-E7CEA32028A1}","","202308241444","POINT (2683538.2 1249310.1)"
"582","Käferholstrasse bei 18","Wohnsiedlung Guggach","Unterstrass/Oberstrass","6","2011","2011","Privat","Baugenossenschaft der Strassenbahner","Quellwasser","1273","privater Brunnen","privat","Markus Weiss, Zürich","","Kunststein","","","nein","","","2682588.727","1250514.901","Gratiswasser bis 3'000m3/Jahr, Mehrverbrauch ist zu verrechnen. Siehe ABO 62510","","https://wvzm0cun.global.szh.loc/Brunnenbilder/","Brunnennetz","{5D06F2EA-C6C9-4D8C-BF0F-938BC5C92797}","","202308241444","POINT (2682588.8 1250514.9)"
"585","Seminarstrasse 29","","Unterstrass/Oberstrass","6","2014","2014","öffentlich","Kirchgemeinde Unterstrass","Züriwasser","1286","Brunnen in städtischer Liegenschaft","öffentlich","","Hofmeister und Kuster Natursteinarbeiten AG","Onsernone Gneis","","","nein","","","2682893.931","1249652.596","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/1286.jpg","HZ Sonnenberg","{58A390BF-2103-4E77-A82D-23C3B6A91F58}","","202308241444","POINT (2682894 1249652.6)"
"603","Hofwiesenstr. nach 50, Im Hofgarten","Schulhaus Milchbuck","Hoengg/Wipkingen","10","1930","1930","öffentlich","WVZ","Züriwasser","288","","öffentlich","Ed. Bick, Bildhauer","Ed. Bick, Bildhauer","Segheriagranit","Bronze","Bronze","nein","","","2682900.133","1249926.504","","","https://wvzm0cun.global.szh.loc/Brunnenbilder/288.jpg","HZ Sonnenberg","{F4DB4F96-2D02-4747-8688-F81F0AEC126E}","","202308241444","POINT (2682900.2 1249926.5)"
"604","Landenberstrass/Kyburgstrasse","","Hoengg/Wipkingen","10","1983","1942","öffentlich","WVZ","Züriwasser","444","","öffentlich","Arch. E. Schäfer","","Iragnagranit","","","nein","","","2682243.114","1249639.753","","Verlegejahr vor 1983","https://wvzm0cun.global.szh.loc/Brunnenbilder/444.jpg","Limmatzone","{8703255C-EE54-43CA-940A-6DBAEF9AA58B}","","202308241444","POINT (2682243 1249639.8)"
